source_id,original_filename,file_type,raw_path,naics_code,naics_level,naics_title,source_type,publisher,year,geography,course_cluster_primary,course_cluster_secondary,overclocked_tags,web_strategy_modules,digital_strategy_sessions,student_facing_allowed,access_status,priority,review_status,notes
"RPT-001","11 Agriculture Forestry Fishing  Hunting in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/11 Agriculture Forestry Fishing  Hunting in the US Industry Report.docx","11","sector","Agriculture, Forestry, Fishing and Hunting","industry_report","unknown","unknown","US","agriculture_food_beverage","retail_cpg_commerce; logistics_supply_chain","market_structure; operating_model; demand_signals; supply_chain","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","medium","needs_review","Sector-level NAICS parsed from filename; publisher and report year not visible from filename."
"RPT-002","21 Mining in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/21 Mining in the US Industry Report.docx","21","sector","Mining, Quarrying, and Oil and Gas Extraction","industry_report","unknown","unknown","US","energy_utilities","manufacturing_industrial; logistics_supply_chain","market_structure; resource_constraints; operating_model; risk_signals","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","medium","needs_review","Sector-level NAICS parsed from filename; publisher and report year not visible from filename."
"RPT-003","22 Utilities in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/22 Utilities in the US Industry Report.docx","22","sector","Utilities","industry_report","unknown","unknown","US","energy_utilities","technology_saas_platforms; real_estate_construction_built_environment","market_structure; infrastructure; regulation; operating_model","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Sector-level NAICS parsed from filename; useful for infrastructure, reliability, regulation, and platform dependency discussions."
"RPT-004","23 Construction in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/23 Construction in the US Industry Report.docx","23","sector","Construction","industry_report","unknown","unknown","US","real_estate_construction_built_environment","manufacturing_industrial; professional_services","market_structure; project_delivery; operating_model; demand_signals","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","medium","needs_review","Sector-level NAICS parsed from filename; publisher and report year not visible from filename."
"RPT-005","31-33 Manufacturing in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/31-33 Manufacturing in the US Industry Report.docx","31-33","sector_range","Manufacturing","industry_report","unknown","unknown","US","manufacturing_industrial","automotive_mobility; retail_cpg_commerce; logistics_supply_chain","operating_model; supply_chain; automation; capability_systems","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Broad sector range parsed from filename; multi-cluster value across industrial, automotive, CPG, and supply chain contexts."
"RPT-006","42 Wholesale Trade in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/42 Wholesale Trade in the US Industry Report.docx","42","sector","Wholesale Trade","industry_report","unknown","unknown","US","logistics_supply_chain","retail_cpg_commerce; manufacturing_industrial","channel_strategy; distribution; supply_chain; operating_model","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Sector-level NAICS parsed from filename; useful for B2B channels, intermediaries, and inventory flow."
"RPT-007","42449 Soft Drink Baked Goods  Other Grocery Wholesaling in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/42449 Soft Drink Baked Goods  Other Grocery Wholesaling in the US Industry Report.docx","42449","industry","Other Grocery and Related Products Merchant Wholesalers","industry_report","unknown","unknown","US","retail_cpg_commerce","agriculture_food_beverage; logistics_supply_chain","channel_strategy; category_management; distribution; demand_signals","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Five-digit NAICS parsed from filename; title inferred from filename and NAICS family, needs instructor confirmation."
"RPT-008","44-45 Retail Trade in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/44-45 Retail Trade in the US Industry Report.docx","44-45","sector_range","Retail Trade","industry_report","unknown","unknown","US","retail_cpg_commerce","advertising_media_marketing; logistics_supply_chain; technology_saas_platforms","customer_experience; channel_strategy; conversion; demand_signals; ecommerce_operator_lens","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Broad sector range parsed from filename; strong Web Strategy operator relevance for retail, ecommerce, and omnichannel."
"RPT-009","48-49 Transportation  Warehousing in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/48-49 Transportation  Warehousing in the US Industry Report.docx","48-49","sector_range","Transportation and Warehousing","industry_report","unknown","unknown","US","logistics_supply_chain","retail_cpg_commerce; manufacturing_industrial; automotive_mobility","supply_chain; fulfillment; operating_model; service_reliability","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Broad sector range parsed from filename; useful for fulfillment, last-mile delivery, and service reliability."
"RPT-010","51 Information in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/51 Information in the US Industry Report.docx","51","sector","Information","industry_report","unknown","unknown","US","technology_saas_platforms","media_entertainment_sports_gaming; advertising_media_marketing","platform_strategy; data_advantage; network_effects; content_distribution","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Sector-level NAICS parsed from filename; broad sector has multi-cluster value and may need finer classification."
"RPT-011","52 Finance  Insurance in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/52 Finance  Insurance in the US Industry Report.docx","52","sector","Finance and Insurance","industry_report","unknown","unknown","US","banking_finance_insurance","technology_saas_platforms; professional_services","trust_systems; risk_management; data_advantage; regulation","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Sector-level NAICS parsed from filename; useful for fintech, trust, compliance, and data-enabled services."
"RPT-012","53 Real Estate  Rental  Leasing in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/53 Real Estate  Rental  Leasing in the US Industry Report.docx","53","sector","Real Estate and Rental and Leasing","industry_report","unknown","unknown","US","real_estate_construction_built_environment","hospitality_travel_qsr; professional_services","asset_utilization; marketplace_dynamics; operating_model; local_demand","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","medium","needs_review","Sector-level NAICS parsed from filename; multi-cluster value where platforms mediate property or rental demand."
"RPT-013","54 Professional Scientific and Technical Services in the US Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/54 Professional Scientific and Technical Services in the US Industry Report.docx","54","sector","Professional, Scientific, and Technical Services","industry_report","unknown","unknown","US","professional_services","technology_saas_platforms; advertising_media_marketing","expertise_scaling; service_design; capability_systems; client_acquisition","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Sector-level NAICS parsed from filename; useful for agencies, consultancies, SaaS-adjacent services, and professional expertise models."
"RPT-014","C2531-GL Global Automobile  Light-Duty Motor Vehicle Manufacturing Industry Report.docx","docx","00_shared_core/07_industry_intelligence/raw_sources/reports/C2531-GL Global Automobile  Light-Duty Motor Vehicle Manufacturing Industry Report.docx","","unknown","Automobile and Light-Duty Motor Vehicle Manufacturing","industry_report","unknown","unknown","Global","automotive_mobility","manufacturing_industrial; logistics_supply_chain; technology_saas_platforms","platform_transition; manufacturing; supply_chain; mobility_ecosystems","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","Filename begins with C2531-GL, which appears to be a report code rather than NAICS; do not force NAICS without instructor/source confirmation."
"DATA-001","advertising-media_advertising_worldwide_USD_en.xlsx","xlsx","00_shared_core/07_industry_intelligence/raw_sources/data_files/advertising-media_advertising_worldwide_USD_en.xlsx","","not_applicable","Advertising media data","market_data_file","unknown","unknown","Worldwide","advertising_media_marketing","media_entertainment_sports_gaming; technology_saas_platforms","media_mix; monetization; demand_signals; channel_strategy","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","XLSX categorized by filename; no NAICS code present; should be mapped by category and course use."
"DATA-002","consumer_alcoholic-drinks_worldwide_USD_en.xlsx","xlsx","00_shared_core/07_industry_intelligence/raw_sources/data_files/consumer_alcoholic-drinks_worldwide_USD_en.xlsx","","not_applicable","Alcoholic drinks market data","market_data_file","unknown","unknown","Worldwide","agriculture_food_beverage","retail_cpg_commerce; hospitality_travel_qsr","category_strategy; demand_signals; consumer_behavior; channel_strategy","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","medium","needs_review","XLSX categorized by filename; no NAICS code present; likely consumer category data rather than NAICS source."
"DATA-003","consumer_apparel_worldwide_USD_en.xlsx","xlsx","00_shared_core/07_industry_intelligence/raw_sources/data_files/consumer_apparel_worldwide_USD_en.xlsx","","not_applicable","Apparel market data","market_data_file","unknown","unknown","Worldwide","retail_cpg_commerce","advertising_media_marketing; technology_saas_platforms","category_strategy; consumer_behavior; merchandising; channel_strategy; ecommerce_operator_lens","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","XLSX categorized by filename; no NAICS code present; useful for ecommerce and retail operator examples."
"DATA-004","consumer_consumer-electronics_worldwide_USD_en.xlsx","xlsx","00_shared_core/07_industry_intelligence/raw_sources/data_files/consumer_consumer-electronics_worldwide_USD_en.xlsx","","not_applicable","Consumer electronics market data","market_data_file","unknown","unknown","Worldwide","retail_cpg_commerce","technology_saas_platforms; manufacturing_industrial","product_strategy; category_strategy; adoption_cycles; channel_strategy; ecommerce_operator_lens","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","XLSX categorized by filename; no NAICS code present; multi-cluster value across consumer tech, retail, ecommerce, and manufacturing."
"DATA-005","consumer_food_worldwide_USD_en.xlsx","xlsx","00_shared_core/07_industry_intelligence/raw_sources/data_files/consumer_food_worldwide_USD_en.xlsx","","not_applicable","Food market data","market_data_file","unknown","unknown","Worldwide","agriculture_food_beverage","retail_cpg_commerce; hospitality_travel_qsr","category_strategy; demand_signals; consumer_behavior; channel_strategy","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","XLSX categorized by filename; no NAICS code present; useful for grocery, CPG, food service, and ecommerce contexts."
"DATA-006","consumer_pet-animal-supplies_worldwide_USD_en.xlsx","xlsx","00_shared_core/07_industry_intelligence/raw_sources/data_files/consumer_pet-animal-supplies_worldwide_USD_en.xlsx","","not_applicable","Pet and animal supplies market data","market_data_file","unknown","unknown","Worldwide","retail_cpg_commerce","agriculture_food_beverage; technology_saas_platforms","category_strategy; consumer_behavior; niche_markets; channel_strategy; ecommerce_operator_lens","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","medium","needs_review","XLSX categorized by filename; no NAICS code present; category should be reviewed for best course fit."
"DATA-007","ecommerce_ecommerce_worldwide_USD_en.xlsx","xlsx","00_shared_core/07_industry_intelligence/raw_sources/data_files/ecommerce_ecommerce_worldwide_USD_en.xlsx","","not_applicable","Ecommerce market data","market_data_file","unknown","unknown","Worldwide","retail_cpg_commerce","technology_saas_platforms; advertising_media_marketing; logistics_supply_chain","conversion; channel_strategy; digital_operating_model; platform_strategy","TBD_after_course_crosswalk_review","TBD_after_course_crosswalk_review","false","licensed","high","needs_review","XLSX categorized by filename; no NAICS code present; strong Web Strategy operator relevance."
